id,Name,Info,Image
1,Alice Carter,Software Engineer,/dummy_images/dummy_01.jpg
2,Brian Thompson,Architect,/dummy_images/dummy_02.jpg
3,Carla Nguyen,Data Analyst,/dummy_images/dummy_03.jpg
4,David Kim,Mechanical Engineer,/dummy_images/dummy_04.jpg
5,Emma Rodríguez,Marketing Specialist,/dummy_images/dummy_05.jpg
6,Frank O’Neill,Teacher,/dummy_images/dummy_06.jpg
7,Grace Patel,Nurse,/dummy_images/dummy_07.jpg
8,Hugo Fernández,Financial Consultant,/dummy_images/dummy_08.jpg
9,Isabel Moreno,Graphic Designer,/dummy_images/dummy_09.jpg
10,James Wright,Electrician,/dummy_images/dummy_10.jpg
